# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0xe0ff1dd9	APCESCPE.VQA
0xefff1dd9	APCESCPE.VQP
0x81f122cf	APCICNH.DES
0x81eb22df	APCICNH.TEM
0x81ec26e2	APCICNH.WIN
0x81fa27de	APCICON.SHP
0x1d6a2bd7	APC_HI.PCX
0x036a32ec	APC_LO.CPS
0xefccf193	APHI0049.PCX
0x02e9e493	APLO0049.CPS
0x71e83ac8	APPEAR1.AUD
0x97a5e7fa	APREP1.AUD
0xf4f6f3b0	APWR.SHP
0x22281ebb	APWRDEAD.SHP
0x36441ac5	APWRICON.SHP
0x243c16cd	APWRMAKE.SHP
0xc5d23cd8	ARAZIOD.AUD
0xeecef7b0	ARCO.SHP
0x29f422c5	ARCOICON.SHP
0x61bc50ce	AREADY1.AUD
0xcddba5f9	ARMOR.SHP
0xe39221f1	ARMORD.SHP
0xe42b34d7	ARMORUP1.AUD
0xf3f7f293	ARRO0001.INT
0xf5f7f293	ARRO0002.INT
0xf7f7f293	ARRO0003.INT
0xf9f7f293	ARRO0004.INT
0xfbf7f293	ARRO0005.INT
0xfdf7f293	ARRO0006.INT
0xfff7f293	ARRO0007.INT
0x01f7f293	ARRO0008.INT
0x03f7f293	ARRO0009.INT
0xf1f9f293	ARRO0010.INT
0xf3f9f293	ARRO0011.INT
0xf5f9f293	ARRO0012.INT
0xf7f9f293	ARRO0013.INT
0xf9f9f293	ARRO0014.INT
0xfbf9f293	ARRO0015.INT
0x683a4cbd	ART-EXP1.SHP
0x5cf1f2cb	ART.INI
0x02f0f7b0	ARTY.SHP
0x493313c5	ARTYICNH.DES
0x433323c5	ARTYICNH.TEM
0x443726c5	ARTYICNH.WIN
0x523822c4	ARTYICON.SHP
0xd81314bd	ASELECT1.AUD
0xfe1830cf	ASIANHUT.SHP
0xc1aa34fc	ASSESS.VQA
0xc1aa43fc	ASSESS.VQP
0x05fc2ac5	ATEFICON.SHP
0xe6d2fbb0	ATEK.SHP
0x19fc2ac5	ATEKICON.SHP
0x07f426cd	ATEKMAKE.SHP
0x95d836cc	ATLNCH1.AUD
0x2a2442bb	ATOMDOOR.SHP
0x220e2ac5	ATOMICDN.SHP
0x191f1bc5	ATOMICNH.DES
0x131f2bc5	ATOMICNH.TEM
0x14232ec5	ATOMICNH.WIN
0x22242ac5	ATOMICON.SHP
0x26302ac5	ATOMICUP.SHP
0x923e25fe	ATOMSFX.SHP
0xa5e846d0	ATPREP1.AUD
0xee34aa0b	ATTACKMOVE.SHP
0x014a1ab5	ATTRACT2.CPS
0xf4f6fbb0	ATWR.SHP
0x2d3f1bc5	ATWRICNH.DES
0x273f2bc5	ATWRICNH.TEM
0x28432ec5	ATWRICNH.WIN
0x36442ac5	ATWRICON.SHP
0x243c26cd	ATWRMAKE.SHP
0x81e042ee	AUNITL1.AUD
0xa5df3503	AVERTED.VQA
0xa5ee3503	AVERTED.VQP
0xcf87b9f1	AWAIT.AUD
0xc961efdd	AWAIT1.R00
0xc961f0dd	AWAIT1.R01
0xc961f1dd	AWAIT1.R02
0xc961f2dd	AWAIT1.R03
0xd161efdd	AWAIT1.V00
0xd161f0dd	AWAIT1.V01
0xd161f1dd	AWAIT1.V02
0xd161f2dd	AWAIT1.V03
0x81ee70ee	AWAIT_R.AUD
0x5cb5a5c8	B01.DES
0x5cb7a5c8	B02.DES
0x5cb9a5c8	B03.DES
0x5cbba5c8	B04.DES
0x5cbda5c8	B05.DES
0x5cbfa5c8	B06.DES
0x885cb5c9	B1.DES
0xa65cb1d2	B1.SNO
0xa85cafc9	B1.TEM
0xae5cb0cd	B1.WIN
0x885cb7c9	B2.DES
0xa65cb3d2	B2.SNO
0xa85cb1c9	B2.TEM
0xae5cb2cd	B2.WIN
0xa65cb5d2	B3.SNO
0xa85cb3c9	B3.TEM
0xae5cb4cd	B3.WIN
0x885cbbc9	B4.DES
0x885cbdc9	B5.DES
0x885cbfc9	B6.DES
0xf5e4eedd	BACKSTAB.AUD
0xf4d0d5b2	BADR.SHP
0x35f7dec9	BADRICON.SHP
0xe595eae4	BANNER.VQA
0xe595f9e4	BANNER.VQP
0x1328f7f5	BANR_NOD.VQA
0x2228f7f5	BANR_NOD.VQP
0x2a3ddde0	BAR3BHR.SHP
0x2a43e5e0	BAR3BLU.SHP
0x2a21d800	BAR3RED.SHP
0x2a3dde00	BAR3RHR.SHP
0x2a47e60e	BAR3YLW.SHP
0xd4ecd5b2	BARB.SHP
0xed2acfc9	BARBICNH.DES
0xe72adfc9	BARBICNH.TEM
0xe82ee2c9	BARBICNH.WIN
0xf62fdec9	BARBICON.SHP
0xe8ecd5b2	BARL.SHP
0xf4ecd5b2	BARR.SHP
0x362fdec9	BARRICON.SHP
0x2427dad1	BARRMAKE.SHP
0xf7cb61b3	BARS3.AUD
0xbc38eeb9	BASEATK1.AUD
0xd842e4bd	BATLCON1.AUD
0xfdadd0f2	BATTLE.VQA
0xfdaddff2	BATTLE.VQP
0x9a0ff0e8	BAZOOK1.AUD
0x9a21f0f1	BAZOOK1.JUV
0x95e2fd11	BCANYON.VQA
0x95f1fd11	BCANYON.VQP
0xa6fdc7b2	BCT1.AUD
0xd6d8f5c7	BEACHEAD.VQA
0xe5d8f5c7	BEACHEAD.VQP
0xa7fe3240	BEACONCLOCK.SHP
0xa8ddcbb2	BED2.AUD
0x2df0eedd	BEEPSLCT.AUD
0xc371bc10	BEEPY1.AUD
0xc371be10	BEEPY2.AUD
0xc371c010	BEEPY3.AUD
0xc371c610	BEEPY6.AUD
0xe1f8fab9	BEFEARED.AUD
0xefe50fb9	BEFEARED.VAR
0x02d6e1b2	BGGY.SHP
0x48fee7c9	BGGYICNH.DES
0x42fef7c9	BGGYICNH.TEM
0x4402fac9	BGGYICNH.WIN
0x5203f6c8	BGGYICON.SHP
0xb5c9d6b2	BIB1.DES
0xb1d2e5b2	BIB1.SNO
0xafc9e6b2	BIB1.TEM
0xb0cde9b2	BIB1.WIN
0xb7c9d6b2	BIB2.DES
0xb3d2e5b2	BIB2.SNO
0xb1c9e6b2	BIB2.TEM
0xb2cde9b2	BIB2.WIN
0xb9c9d6b2	BIB3.DES
0xb5d2e5b2	BIB3.SNO
0xb3c9e6b2	BIB3.TEM
0xb4cde9b2	BIB3.WIN
0xf7deca9b	BIGF226M.AUD
0xdadee5b2	BIKE.SHP
0xf90eefc9	BIKEICNH.DES
0xf30effc9	BIKEICNH.TEM
0xf41302c9	BIKEICNH.WIN
0x0213fec9	BIKEICON.SHP
0xc2b0a109	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/A-PATH-BEYOND.ORAMAP MATCHES
0x037c3fa1	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/AGENDA.ORAMAP MATCHES
0x26f4a209	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ALTERCATION.ORAMAP MATCHES
0xc5548038	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ARCHIPELAGO.ORAMAP MATCHES
0xcfad1923	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ARDENNES.ORAMAP MATCHES
0xb41baf7b	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ASCENT.ORAMAP MATCHES
0xf7cbc1b2	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ASYMMETRIC-BATTLE.ORAMAP MATCHES
